#nome,classe,regiao,ano de lançamento,pickrate em %;
40
172
Aatrox,Lutador,Runeterra,2013,6.3;
Ahri,Mago,Ionia,2011,10.46;
Akali,Assassino,Ionia,2010,6.68;
Akshan,Atirador,Shurima,2021,3.11;
Alistar,Tanque,Runeterra,2009,4.53;
Ambessa,Lutador,Noxus,2024,5.21;
Amumu,Tanque,Shurima,2009,3.98;
Anivia,Mago,Freljord,2009,3.46;
Annie,Mago,Runeterra,2009,3.14;
Aphelios,Atirador,Targon,2019,5.48;
Ashe,Atirador,Freljord,2009,15.37;
Aurelion Sol,Mago,Targon,2016,2.47;
Aurora,Mago,Freljord,2024,4.82;
Azir,Mago,Shurima,2014,3.12;
Bard,Suporte,Runeterra,2015,6.94;
Bel'Veth,Lutador,Vazio,2022,1.91;
Blitzcrank,Tanque,Zaun,2009,4.97;
Brand,Mago,Runeterra,2011,4.79;
Braum,Suporte,Freljord,2014,6.35;
Briar,Lutador,Noxus,2023,4.81;
Caitlyn,Atirador,Piltover,2011,14.59;
Camille,Lutador,Piltover,2016,6.12;
Cassiopeia,Mago,Noxus,2010,2.38;
Cho'Gath,Tanque,Vazio,2009,3.05;
Corki,Atirador,Bandópolis,2009,1.53;
Darius,Lutador,Noxus,2012,8.15;
Diana,Lutador,Targon,2012,3.28;
Dr. Mundo,Lutador,Zaun,2009,4.47;
Draven,Atirador,Noxus,2012,5.82;
Ekko,Assassino,Zaun,2015,5.91;
Elise,Mago,Ilhas das Sombras,2012,2.55;
Evelynn,Assassino,Runeterra,2009,3.68;
Ezreal,Atirador,Piltover,2010,18.50;
Fiddlesticks,Mago,Runeterra,2009,2.39;
Fiora,Lutador,Demacia,2012,5.18;
Fizz,Assassino,Águas de Sentina,2011,4.31;
Galio,Tanque,Demacia,2010,3.19;
Gangplank,Lutador,Águas de Sentina,2009,4.94;
Garen,Lutador,Demacia,2010,7.54;
Gnar,Lutador,Freljord,2014,3.08;
Gragas,Lutador,Freljord,2010,4.76;
Graves,Atirador,Águas de Sentina,2011,11.63;
Gwen,Lutador,Ilhas das Sombras,2021,4.52;
Hecarim,Lutador,Ilhas das Sombras,2012,6.05;
Heimerdinger,Mago,Piltover,2009,1.78;
Hwei,Mago,Ionia,2023,9.03;
Illaoi,Lutador,Águas de Sentina,2015,4.18;
Irelia,Lutador,Ionia,2010,6.83;
Ivern,Suporte,Freljord,2016,1.45;
Janna,Suporte,Zaun,2009,3.78;
Jarvan IV,Lutador,Demacia,2011,7.43;
Jax,Lutador,Runeterra,2009,8.45;
Jayce,Lutador,Piltover,2012,4.28;
Jhin,Atirador,Ionia,2016,15.56;
Jinx,Atirador,Zaun,2013,11.27;
K'Sante,Tanque,Shurima,2022,5.95;
Kai'Sa,Atirador,Vazio,2018,16.89;
Kalista,Atirador,Ilhas das Sombras,2014,3.52;
Karma,Mago,Ionia,2011,10.38;
Karthus,Mago,Ilhas das Sombras,2009,4.48;
Kassadin,Assassino,Vazio,2009,3.07;
Katarina,Assassino,Noxus,2009,7.11;
Kayle,Lutador,Demacia,2009,3.12;
Kayn,Lutador,Ionia,2017,6.85;
Kennen,Mago,Ionia,2010,2.63;
Kha'Zix,Assassino,Vazio,2012,7.48;
Kindred,Atirador,Runeterra,2015,4.55;
Kled,Lutador,Noxus,2016,1.76;
Kog'Maw,Atirador,Vazio,2010,3.21;
LeBlanc,Assassino,Noxus,2010,6.98;
Lee Sin,Lutador,Ionia,2011,12.77;
Leona,Tanque,Targon,2011,6.03;
Lillia,Lutador,Ionia,2020,3.47;
Lissandra,Mago,Freljord,2013,4.97;
